x-coordinate,y-coordinate,Similarity_score
data/haunted_places_jsons_subset/haunted_place_6863.json,data/haunted_places_jsons_subset/haunted_place_2877.json,0.5
data/haunted_places_jsons_subset/haunted_place_6863.json,data/haunted_places_jsons_subset/haunted_place_1758.json,0.5
data/haunted_places_jsons_subset/haunted_place_6863.json,data/haunted_places_jsons_subset/haunted_place_3765.json,0.5
data/haunted_places_jsons_subset/haunted_place_6863.json,data/haunted_places_jsons_subset/haunted_place_6567.json,0.6363636363636364
data/haunted_places_jsons_subset/haunted_place_6863.json,data/haunted_places_jsons_subset/haunted_place_8980.json,0.6363636363636364
data/haunted_places_jsons_subset/haunted_place_6863.json,data/haunted_places_jsons_subset/haunted_place_9692.json,0.5
data/haunted_places_jsons_subset/haunted_place_6863.json,data/haunted_places_jsons_subset/haunted_place_9738.json,0.5
data/haunted_places_jsons_subset/haunted_place_6863.json,data/haunted_places_jsons_subset/haunted_place_1308.json,0.5
data/haunted_places_jsons_subset/haunted_place_6863.json,data/haunted_places_jsons_subset/haunted_place_3335.json,0.5
data/haunted_places_jsons_subset/haunted_place_6863.json,data/haunted_places_jsons_subset/haunted_place_6137.json,0.5
data/haunted_places_jsons_subset/haunted_place_6863.json,data/haunted_places_jsons_subset/haunted_place_926.json,0.5
data/haunted_places_jsons_subset/haunted_place_6863.json,data/haunted_places_jsons_subset/haunted_place_8579.json,0.5
data/haunted_places_jsons_subset/haunted_place_6863.json,data/haunted_places_jsons_subset/haunted_place_2174.json,0.6363636363636364
data/haunted_places_jsons_subset/haunted_place_6863.json,data/haunted_places_jsons_subset/haunted_place_7376.json,0.6363636363636364
data/haunted_places_jsons_subset/haunted_place_6863.json,data/haunted_places_jsons_subset/haunted_place_475.json,0.5
data/haunted_places_jsons_subset/haunted_place_6863.json,data/haunted_places_jsons_subset/haunted_place_8083.json,0.5
data/haunted_places_jsons_subset/haunted_place_6863.json,data/haunted_places_jsons_subset/haunted_place_8129.json,0.5
data/haunted_places_jsons_subset/haunted_place_6863.json,data/haunted_places_jsons_subset/haunted_place_2524.json,0.5
data/haunted_places_jsons_subset/haunted_place_6863.json,data/haunted_places_jsons_subset/haunted_place_4809.json,0.6363636363636364
data/haunted_places_jsons_subset/haunted_place_6863.json,data/haunted_places_jsons_subset/haunted_place_6834.json,0.5
data/haunted_places_jsons_subset/haunted_place_6863.json,data/haunted_places_jsons_subset/haunted_place_7726.json,0.5
data/haunted_places_jsons_subset/haunted_place_6863.json,data/haunted_places_jsons_subset/haunted_place_7233.json,0.5
data/haunted_places_jsons_subset/haunted_place_6863.json,data/haunted_places_jsons_subset/haunted_place_530.json,0.5
data/haunted_places_jsons_subset/haunted_place_6863.json,data/haunted_places_jsons_subset/haunted_place_2031.json,0.6363636363636364
data/haunted_places_jsons_subset/haunted_place_6863.json,data/haunted_places_jsons_subset/haunted_place_160.json,0.5
data/haunted_places_jsons_subset/haunted_place_6863.json,data/haunted_places_jsons_subset/haunted_place_6971.json,0.5
data/haunted_places_jsons_subset/haunted_place_6863.json,data/haunted_places_jsons_subset/haunted_place_7663.json,0.5
data/haunted_places_jsons_subset/haunted_place_6863.json,data/haunted_places_jsons_subset/haunted_place_8596.json,0.6363636363636364
data/haunted_places_jsons_subset/haunted_place_6863.json,data/haunted_places_jsons_subset/haunted_place_2461.json,0.5
data/haunted_places_jsons_subset/haunted_place_6863.json,data/haunted_places_jsons_subset/haunted_place_7399.json,0.5
data/haunted_places_jsons_subset/haunted_place_6863.json,data/haunted_places_jsons_subset/haunted_place_6422.json,0.5
data/haunted_places_jsons_subset/haunted_place_6863.json,data/haunted_places_jsons_subset/haunted_place_2932.json,0.6363636363636364
data/haunted_places_jsons_subset/haunted_place_6863.json,data/haunted_places_jsons_subset/haunted_place_3620.json,0.5
data/haunted_places_jsons_subset/haunted_place_6863.json,data/haunted_places_jsons_subset/haunted_place_2898.json,0.5
data/haunted_places_jsons_subset/haunted_place_6863.json,data/haunted_places_jsons_subset/haunted_place_863.json,0.6363636363636364
data/haunted_places_jsons_subset/haunted_place_6863.json,data/haunted_places_jsons_subset/haunted_place_6072.json,0.5
data/haunted_places_jsons_subset/haunted_place_6863.json,data/haunted_places_jsons_subset/haunted_place_9387.json,0.5
data/haunted_places_jsons_subset/haunted_place_6863.json,data/haunted_places_jsons_subset/haunted_place_3270.json,0.5
data/haunted_places_jsons_subset/haunted_place_6863.json,data/haunted_places_jsons_subset/haunted_place_6588.json,0.6363636363636364
data/haunted_places_jsons_subset/haunted_place_6863.json,data/haunted_places_jsons_subset/haunted_place_10925.json,0.5
data/haunted_places_jsons_subset/haunted_place_6863.json,data/haunted_places_jsons_subset/haunted_place_249.json,0.5
data/haunted_places_jsons_subset/haunted_place_6863.json,data/haunted_places_jsons_subset/haunted_place_5577.json,0.5
data/haunted_places_jsons_subset/haunted_place_6863.json,data/haunted_places_jsons_subset/haunted_place_2748.json,0.5
data/haunted_places_jsons_subset/haunted_place_6863.json,data/haunted_places_jsons_subset/haunted_place_1867.json,0.6363636363636364
data/haunted_places_jsons_subset/haunted_place_6863.json,data/haunted_places_jsons_subset/haunted_place_8345.json,0.5
data/haunted_places_jsons_subset/haunted_place_6863.json,data/haunted_places_jsons_subset/haunted_place_5127.json,0.5
data/haunted_places_jsons_subset/haunted_place_6863.json,data/haunted_places_jsons_subset/haunted_place_619.json,0.5
data/haunted_places_jsons_subset/haunted_place_6863.json,data/haunted_places_jsons_subset/haunted_place_2318.json,0.5
data/haunted_places_jsons_subset/haunted_place_6863.json,data/haunted_places_jsons_subset/haunted_place_8715.json,0.5
data/haunted_places_jsons_subset/haunted_place_6863.json,data/haunted_places_jsons_subset/haunted_place_9807.json,0.5
data/haunted_places_jsons_subset/haunted_place_6863.json,data/haunted_places_jsons_subset/haunted_place_10026.json,0.6363636363636364
data/haunted_places_jsons_subset/haunted_place_6863.json,data/haunted_places_jsons_subset/haunted_place_4366.json,0.6363636363636364
data/haunted_places_jsons_subset/haunted_place_6863.json,data/haunted_places_jsons_subset/haunted_place_3159.json,0.5
data/haunted_places_jsons_subset/haunted_place_6863.json,data/haunted_places_jsons_subset/haunted_place_1164.json,0.5
data/haunted_places_jsons_subset/haunted_place_6863.json,data/haunted_places_jsons_subset/haunted_place_9554.json,0.5
data/haunted_places_jsons_subset/haunted_place_6863.json,data/haunted_places_jsons_subset/haunted_place_10476.json,0.6363636363636364
data/haunted_places_jsons_subset/haunted_place_6863.json,data/haunted_places_jsons_subset/haunted_place_4736.json,0.5
data/haunted_places_jsons_subset/haunted_place_6863.json,data/haunted_places_jsons_subset/haunted_place_5824.json,0.5
data/haunted_places_jsons_subset/haunted_place_6863.json,data/haunted_places_jsons_subset/haunted_place_7819.json,0.5
data/haunted_places_jsons_subset/haunted_place_6863.json,data/haunted_places_jsons_subset/haunted_place_3509.json,0.6363636363636364
data/haunted_places_jsons_subset/haunted_place_6863.json,data/haunted_places_jsons_subset/haunted_place_1534.json,0.5
data/haunted_places_jsons_subset/haunted_place_6863.json,data/haunted_places_jsons_subset/haunted_place_9104.json,0.5
data/haunted_places_jsons_subset/haunted_place_6863.json,data/haunted_places_jsons_subset/haunted_place_1021.json,0.5
